"run_id","job_id","job_name","status","conclusion","started_at","completed_at","duration_s","runner_name","run_attempt"
17604705908,50013083370,"lint","completed","success","2025-09-10T06:02:53Z","2025-09-10T06:03:13Z",20,"GitHub Actions 1000000042",1
17604705908,50013083383,"build","completed","failure","2025-09-10T06:02:53Z","2025-09-10T06:12:14Z",561,"GitHub Actions 1000000041",1
17604764221,50013255005,"build","completed","failure","2025-09-10T06:05:52Z","2025-09-10T06:15:40Z",588,"GitHub Actions 1000000043",1
17604764221,50013255007,"lint","completed","success","2025-09-10T06:05:52Z","2025-09-10T06:06:12Z",20,"GitHub Actions 1000000044",1
17604771091,50013274577,"build","completed","success","2025-09-10T06:06:14Z","2025-09-10T06:16:40Z",626,"GitHub Actions 1000000046",1
17604771091,50013274586,"lint","completed","success","2025-09-10T06:06:13Z","2025-09-10T06:06:36Z",23,"GitHub Actions 1000000045",1
17606334628,50017827972,"build","completed","failure","2025-09-10T07:20:57Z","2025-09-10T07:29:34Z",517,"GitHub Actions 1000000047",1
17606334628,50017827973,"lint","completed","success","2025-09-10T07:20:56Z","2025-09-10T07:21:16Z",20,"GitHub Actions 1000000048",1
17606822437,50019300476,"build","completed","failure","2025-09-10T07:42:22Z","2025-09-10T07:51:03Z",521,"GitHub Actions 1000000049",1
17606822437,50019300484,"lint","completed","success","2025-09-10T07:42:22Z","2025-09-10T07:42:44Z",22,"GitHub Actions 1000000050",1
17607539897,50021633903,"build","completed","failure","2025-09-10T08:14:22Z","2025-09-10T08:22:48Z",506,"GitHub Actions 1000000051",1
17607539897,50021633926,"lint","completed","success","2025-09-10T08:14:23Z","2025-09-10T08:14:47Z",24,"GitHub Actions 1000000052",1
17632468567,50102328100,"lint","completed","success","2025-09-11T02:46:06Z","2025-09-11T02:46:25Z",19,"GitHub Actions 1000000053",1
17632468567,50102328112,"build","completed","success","2025-09-11T02:46:06Z","2025-09-11T02:56:01Z",595,"GitHub Actions 1000000054",1
17634936269,50109283988,"build","completed","success","2025-09-11T05:26:49Z","2025-09-11T05:36:44Z",595,"GitHub Actions 1000000055",1
17634936269,50109283993,"lint","completed","failure","2025-09-11T05:26:53Z","2025-09-11T05:27:16Z",23,"GitHub Actions 1000000056",1
17687824011,50276126369,"lint","completed","failure","2025-09-12T22:56:05Z","2025-09-12T22:56:25Z",20,"GitHub Actions 1000000057",1
17687824011,50276126371,"build","completed","success","2025-09-12T22:56:06Z","2025-09-12T23:06:00Z",594,"GitHub Actions 1000000058",1
